city,year,avg_temp,MV_3,MV_5,MV_10
Riyadh,1843,24.74,#N/A,#N/A,#N/A
Riyadh,1844,15.45,#N/A,#N/A,#N/A
Riyadh,1845,20.82,20.33666667,#N/A,#N/A
Riyadh,1846,,18.135,#N/A,#N/A
Riyadh,1847,,20.82,20.33666667,#N/A
Riyadh,1848,24.56,24.56,20.27666667,#N/A
Riyadh,1849,24.8,24.68,23.39333333,#N/A
Riyadh,1850,24.34,24.56666667,24.56666667,#N/A
Riyadh,1851,25.03,24.72333333,24.6825,#N/A
Riyadh,1852,24.85,24.74,24.716,23.07375
Riyadh,1853,24.93,24.93666667,24.79,23.0975
Riyadh,1854,24.72,24.83333333,24.774,24.25625
Riyadh,1855,24.92,24.85666667,24.89,24.76875
Riyadh,1856,24.57,24.73666667,24.798,24.74666667
Riyadh,1857,24.26,24.58333333,24.68,24.698
Riyadh,1858,25.01,24.61333333,24.696,24.743
Riyadh,1859,24.95,24.74,24.742,24.758
Riyadh,1860,24.94,24.96666667,24.746,24.818
Riyadh,1861,24.13,24.67333333,24.658,24.728
Riyadh,1862,23.77,24.28,24.56,24.62
Riyadh,1863,24.28,24.06,24.414,24.555
Riyadh,1864,25.03,24.36,24.43,24.586
Riyadh,1865,25.23,24.84666667,24.488,24.617
Riyadh,1866,24.92,25.06,24.646,24.652
Riyadh,1867,25.22,25.12333333,24.936,24.748
Riyadh,1868,25,25.04666667,25.08,24.747
Riyadh,1869,25.3,25.17333333,25.134,24.782
Riyadh,1870,25.02,25.10666667,25.092,24.79
Riyadh,1871,24.73,25.01666667,25.054,24.85
Riyadh,1872,24.87,24.87333333,24.984,24.96
Riyadh,1873,25.24,24.94666667,25.032,25.056
Riyadh,1874,24.98,25.03,24.968,25.051
Riyadh,1875,24.43,24.88333333,24.85,24.971
Riyadh,1876,24.89,24.76666667,24.882,24.968
Riyadh,1877,25.47,24.93,25.002,24.993
Riyadh,1878,25.51,25.29,25.056,25.044
Riyadh,1879,25.24,25.40666667,25.108,25.038
Riyadh,1880,24.8,25.18333333,25.182,25.016
Riyadh,1881,25.63,25.22333333,25.33,25.106
Riyadh,1882,24.66,25.03,25.168,25.085
Riyadh,1883,25.19,25.16,25.104,25.08
Riyadh,1884,24.8,24.88333333,25.016,25.062
Riyadh,1885,24.98,24.99,25.052,25.117
Riyadh,1886,24.98,24.92,24.922,25.126
Riyadh,1887,24.81,24.92333333,24.952,25.06
Riyadh,1888,25.13,24.97333333,24.94,25.022
Riyadh,1889,25.52,25.15333333,25.084,25.05
Riyadh,1890,25.07,25.24,25.102,25.077
Riyadh,1891,25.39,25.32666667,25.184,25.053
Riyadh,1892,25.22,25.22666667,25.266,25.109
Riyadh,1893,25.19,25.26666667,25.278,25.109
Riyadh,1894,24.66,25.02333333,25.106,25.095
Riyadh,1895,24.69,24.84666667,25.03,25.066
Riyadh,1896,24.88,24.74333333,24.928,25.056
Riyadh,1897,24.86,24.81,24.856,25.061
Riyadh,1898,24.88,24.87333333,24.794,25.036
Riyadh,1899,25.12,24.95333333,24.886,24.996
Riyadh,1900,25.29,25.09666667,25.006,25.018
Riyadh,1901,25.55,25.32,25.14,25.034
